file,source,rights,use,preparation,bytes,sha256
icons/close.svg,https://raw.githubusercontent.com/lucide-icons/lucide/main/icons/x.svg,Lucide ISC; Feather-derived icon MIT. Full notices in licences/lucide.txt.,Navigation/search/dialog control; paired with a text label.,Downloaded SVG; kept original paths. close.svg renamed from x.svg.,239,115df1387dd800b4ffa79220f40f86b3de84bafa2b2bb807b7cc7aa719d34f11
icons/menu.svg,https://raw.githubusercontent.com/lucide-icons/lucide/main/icons/menu.svg,Lucide ISC; Feather-derived icon MIT. Full notices in licences/lucide.txt.,Navigation/search/dialog control; paired with a text label.,Downloaded SVG; kept original paths. close.svg renamed from x.svg.,257,aee236c41ed80b63c1dc0cd4261c5b582ad075d88d849b16526bea39191ed8db
icons/search.svg,https://raw.githubusercontent.com/lucide-icons/lucide/main/icons/search.svg,Lucide ISC; Feather-derived icon MIT. Full notices in licences/lucide.txt.,Navigation/search/dialog control; paired with a text label.,Downloaded SVG; kept original paths. close.svg renamed from x.svg.,254,0092dee46f6035edf116a76efbdcaa024e14aff9be5f94d885c8b14d37a0333a
images/abba.jpg,https://commons.wikimedia.org/wiki/File:ABBA1974TopPop.jpg,Photo: AVRO; CC BY 3.0; https://creativecommons.org/licenses/by/3.0/,Artist photo on Home / Explore,Downloaded unchanged; displayed at smaller sizes,1496264,762e94bef74a242d0372e82cb336d0a23c19f35577a07e0c0a1d7a58c5011075
images/bob-marley.jpg,https://commons.wikimedia.org/wiki/File:Bob_Marley_1977_press_photo.jpg,Photo: Kim Gottlieb; distributed by Island Records; Public domain; https://commons.wikimedia.org/wiki/Commons:Public_domain,Artist photo on Home / Explore,Downloaded unchanged; displayed at smaller sizes,238902,6b3dd481142fb6960a78e4dadb99198f789b7b82b43e22f5aa1f82ae53085b44
images/david-bowie.png,https://commons.wikimedia.org/wiki/File:David_Bowie_-_TopPop_1974_10.png,Photo: AVRO; CC BY-SA 3.0 NL; https://creativecommons.org/licenses/by-sa/3.0/nl/,Artist photo on Home / Explore,Downloaded unchanged; displayed at smaller sizes,93056,41b0ae653dd032d40883bf6d04e30929341a1263c04d8e54e9d719fe20fb0808
images/donna-summer.jpg,https://commons.wikimedia.org/wiki/File:Nobel_Peace_Price_Concert_2009_Donna_Summer1.jpg,Photo: Harry Wad; CC BY-SA 3.0; https://creativecommons.org/licenses/by-sa/3.0/,Artist photo on Home / Explore,Downloaded unchanged; displayed at smaller sizes,82441,aa6545f7c7a1f3eb9c153894b2e7d518bac9fef7ccf3a2986756c6b4ac1c24ff
images/earth-wind-and-fire.jpg,https://commons.wikimedia.org/wiki/File:Earth_Wind_and_Fire_1970s_press_photo.jpg,Photo: Distributed by Columbia Records; Public domain; https://commons.wikimedia.org/wiki/Commons:Public_domain,Artist photo on Home / Explore,Downloaded unchanged; displayed at smaller sizes,195888,0d6de14f0f6af2466faa741f56dbb529a904f306915374097c0cda867533a82a
images/fleetwood-mac.jpg,https://commons.wikimedia.org/wiki/File:Fleetwood_Mac_(1977).jpg,Photo: Warner Bros. Records; Public domain; https://commons.wikimedia.org/wiki/Commons:Public_domain,Artist photo on Home / Explore,Downloaded unchanged; displayed at smaller sizes,329479,3fee5dc740b6890651accce27a964082126393b6867bbebc6ae57fd845e5e168
images/logo.svg,Original project artwork,Original project artwork,Shared site identity,Editable SVG,473,e2591e4dbc0fe5b85e3e67ea0adfca2839050bf9ec5486f43cde37796e2032dc
